Project, Assigned Rule Writer, # of documents in URS image set, # of pages in URS image set,"Status of creating URS image set (NotStarted, InProgress, Done)", Total running time on quad-core machine, Processor speed of quad-core machine in GHz, RAM (in GB) of quad-core machine, Name of quad-core machine used for testing
2011 Test - BMI Imaging,,,,,,,,
AL - Secretary of State - NIC,,,,,,,,
AR - Washington - Cott,,,,,,,,
CA - Alameda - FNTI,,,,,,,,
CA - Amador - AtPac,,,,,,,,
CA - Calaveras - AtPac,,,,,,,,
CA - Contra Costa - AtPac,,,,,,,,
CA - Eldorado - AtPac,,,,,,,,
CA - Eldorado - AtPac - Backfile,,,,,,,,
CA - Fresno - AtPac,,,,,,,,
CA - Imperial - BMI Imaging,,,,,,,,
CA - Imperial - SouthTech,,,,,,,,
CA - Inyo - AtPac,,,,,,,,
CA - Kings - AtPac,,,,,,,,
CA - Marin - DFM,,,,,,,,
CA - Modoc - AtPac,,,,,,,,
CA - Mono - US Imaging,,,,,,,,
CA - Sacramento,,,,,,,,
CA - San Diego - Wave,,,,,,,,
CA - San Francisco - AtPac,,,,,,,,
CA - San Mateo - Ricoh,,,,,,,,
CA - San Mateo - SouthTech,,,,,,,,
CA - Santa Barbara - DFM,,,,,,,,
CA - Siskiyou - AtPac,,,,,,,,
CA - Stanislaus - AtPac,,,,,,,,
CA - State Rules - AtPac,,,,,,,,
CA - Tulare,,,,,,,,
CA - Yolo - AtPac Backfile,,,,,,,,
CA - Yolo - AtPac DayForward,,,,,,,,
CA - Yuba - BMI Imaging,,,,,,,,
CO - Garfield - US Imaging,,,,,,,,
CO - Secretary of State,,,,,,,,
CT - Avon - Cott,,,,,,,,
CT - New Hartford - Cott,,,,,,,,
DSSG,,,,,,,,
FACC,,,,,,,,
FL - Hillsborough,,,,,,,,
FL - Sumter Court - FACC,,,,,,,,
FL - Sumter Recorder - FACC,,,,,,,,
FL - Supreme Court,,,,,,,,
FNTI - Demo,,,,,,,,
HI - DCCA,,,,,,,,
IA - Dubuque - Cott,,,,,,,,
IA - Johnson - Cott,,,,,,,,
IA - Linn - Cott,,,,,,,,
IA - Polk - Cott,,,,,,,,
IA - Story - ACS,,,,,,,,
IA - Woodbury - Cott,,,,,,,,
IL -  Lake - Cott,,,,,,,,
IL -  McLean - Cott,,,,,,,,
IL - DeKalb - IT Stability Group,,,,,,,,
IL - Hamilton - Cott,,,,,,,,
IL - Kendall - IT Stability Group,,,,,,,,
IL - Macoupin - Cott,,,,,,,,
IL - Ogle,,,,,,,,
IL - SOS,,,,,,,,
IL - Winnebago - ACS,,,,,,,,
IN - Bartholomew - ACS,,,,,,,,
IN - Boone - ACS,,,,,,,,
IN - Cass - ACS,,,,,,,,
IN - DeKalb - Trimin,,,,,,,,
IN - District Rules - CSI,,,,,,,,
IN - Districts - ACS,,,,,,,,
IN - Franklin - CSI,,,,,,,,
IN - Grant - Cott,,,,,,,,
IN - Hamilton - CSI,,,,,,,,
IN - Johnson - Cott,,,,,,,,
IN - Kosciusko - CSI,,,,,,,,
IN - Marion - TriMin,,,,,,,,
IN - Ripley - ACS,,,,,,,,
IN - State Rules - Cott,,,,,,,,
IN - Wayne - CSI,,,,,,,,
IN - Wells - Cott,,,,,,,,
KS - DOT,,,,,,,,
LA - Ascension,,,,,,,,
LA - Assumption - Cott,,,,,,,,
LA - Avoyelles - Cott,,,,,,,,
