\bInternal\sRevenue\sService\b,USA IRS
\bTelephone\s\&\sTelegraph\b,TEL & TEL
\bPersonal\sRepresentative\b,PERS REP
\bHousing\s&\sCommunity\sDevel\b,HCD
\bFederal\sSavings\s&\sLoan\b,F S L
\bHome\sOwner's\sAssociation\b,HOA
\bHousing\s\&\sUrban\sDevel\b,HUD
\bTranscontinental\b,TRANSCONTNL
\bIndustrialization\b,INDSTLIZAN
\bHomeowner's\sAssociation\b,HOA
\bFederal\sSavings\sBank\b,F S B
\bFederal\sCredit\sUnion\b,F C U
\bIntercontinental\b,INTERCONTL
\bDistrict\sof\sColumbia\b\b,DC
\bFarmers\s\&\sMerchants\b,F&M
\bdirector\sof\sthe\semployment\sdevelopment\sdepartment,CALIF STATE DEPT EMPL DEVELOPMENT
(?:\bthe\s+)?\bCounty\s+of\s+([\w\s]+),$1 COUNTY
(?:\bthe\s+)?\bCity\s+of\s+([\w\s]+),$1 CITY
\s\&\sLoan\b,S&L
\bIntercommunity\b,INTERCOMMU
\bTransnational\b,TRANSNATL
\bReconstruction\b,RECONSTR
\bInternational\b,INTERNATL
\bBuilding\s\&\sLoan\b,B&L
\bSouthwestern\b,SO WESTN
\bSoutheastern\b,SO EASTN
\bRedevelopment\b,REDEVEL
\bNorthwestern\b,NO WESTN
\bConsolidated\b,CONSOLID
\bCommonwealth\b,COMMONWH
\bHomebuilder\b,HOMEBLDR
\bTitle\sInsurance\b,TI
\bTitle\sCompany\b,T CO
\bSuperintendent\b,SUPT
\bInstitutional\b,INSTL
\bConstruction\b,CONSTR
\bAdministratrix\b,ADMR
\bAdministration\b,ADMN
\bStabilization\b,STAB
\bSouth\sCarolina\b,SC
\bSan\sFrancisco\b,S F
\bReconveyance\b,RECON
\bPlan\s&\sTrust\b,P&T
\bNorth\sCarolina\b,NC
\bInterstate\b,INTERST
\bEqualization\b,EQUAL
\bDistribution\b,DISTR
\bContinental\b,CONTNL
\bConservator\b,CONSER
\bAdministrator\b,ADMR
\bSubdivision\b,SUBDV
\bSouthwest\b,SO WEST
\bSoutheast\b,SO EAST
\bOrganization\b,ORGN
\bNorthwest\b,NO WEST
\bNortheast\b,NO EAST
\bIndustrial\b,INDSTL
\bImprovement\b,IMPVT
\bEngineering\b,ENGRG
\bDiversified\b,DIVFD
\bDevelopment\b,DEVEL
\bDeclaration\b,DECLN
\bCredit\sUnion\b,C U
